Product Name,Category,Brand,SKU,Barcode,MRP,Selling Price,Stock Quantity,Unit,GST Rate,Supplier,Branch,Status
"Amul Fresh Milk 500ml",Dairy,Amul,AMU-FRM-500,8901020031011,30.00,28.00,150,Pieces,5%,Amul Dairy,Main Store,Active
"Tata Salt 1kg",Pantry,Tata,TAT-SLT-1KG,8901719402013,22.00,20.00,300,Pieces,5%,Tata Consumer,Main Store,Active
"Maggi Noodles 70g",Pantry,Nestle,NES-MAG-70G,8901030813720,15.00,14.00,200,Pieces,12%,Nestle India,Branch A,Active
"Basmati Rice 1kg",Grains,Tata,TAT-RIC-1KG,8901719802034,85.00,80.00,100,Pieces,5%,Tata Consumer,Main Store,Active
"Britannia Good Day 100g",Snacks,Britannia,BRI-GDY-100,8901063127821,35.00,33.00,80,Pieces,12%,Britannia Industries,Branch B,Active
"Patanjali Honey 500g",Health Foods,Patanjali,PAT-HON-500,8904109450123,180.00,170.00,45,Pieces,5%,Patanjali Ayurved,Main Store,Active
"Pepsi 600ml",Beverages,Pepsi,PEP-COL-600,8901030567832,30.00,28.00,120,Pieces,28%,PepsiCo India,Branch A,Active
"Himalaya Face Wash 100ml",Personal Care,Himalaya,HIM-FCW-100,8901138509876,95.00,90.00,60,Pieces,18%,Himalaya Drug Company,Branch C,Active
"Closeup Toothpaste 150g",Personal Care,Unilever,UNI-CTP-150,8901030567123,65.00,62.00,90,Pieces,18%,Hindustan Unilever,Main Store,Active
"Surf Excel 1kg",Household,Unilever,UNI-SFX-1KG,8901030567456,210.00,200.00,40,Pieces,18%,Hindustan Unilever,Branch A,Active
