Name,SKU,Barcode,Description,Category,Brand,Unit,Supplier,Cost Price,Selling Price,MRP,Quantity,Reorder Level,Max Stock Level,Location,GST Rate,Active
Britannia Energy Drink Super Pack of 2 - FWXP,BEV-BRIT-008565949,8904051056462,Natural and healthy Britannia Energy Drink Super Pack of 2 - FWXP. No artificial colors or preservatives.,Beverages,Britannia,Millilitre,Hyderabad Dairy Co-op,42,60,66,38,20,100,,12,Yes
Coca Cola Buttermilk Organic 500g - CY1U,BEV-COKE-008599276,8904358668751,Premium quality Coca Cola Buttermilk Organic 500g - CY1U with authentic taste. Hygienically packed.,Beverages,Coca Cola,Dozen,Bangalore Fresh Produce,41,59,65,30,20,100,,12,Yes
Mother Dairy Buttermilk Premium - Q3IO,BEV-MOTHER-008631152,8901772275526,Refreshing Mother Dairy Buttermilk Premium - Q3IO from Mother Dairy. Perfect for hot Indian summers.,Beverages,Mother Dairy,Gram,Pune Organic Supplies,29,42,46,49,20,100,,12,Yes
Coca Cola Apple Juice 250g - BPDW,BEV-COKE-008669863,8908838915031,Refreshing Coca Cola Apple Juice 250g - BPDW from Coca Cola. Perfect for hot Indian summers.,Beverages,Coca Cola,Pack,Kolkata Trading Company,46,65,72,75,20,100,,12,Yes
Havells Apple Juice Special - 0CBP,BEV-HAVELL-008704663,8905529454253,Refreshing Havells Apple Juice Special - 0CBP from Havells. Perfect for hot Indian summers.,Beverages,Havells,Kilogram,Kolkata Trading Company,35,50,55,87,20,100,,12,Yes
Parle Fresh Lime Pack of 2 - 8WTP,BEV-PARLE-008739389,8903244721419,Premium quality Parle Fresh Lime Pack of 2 - 8WTP with authentic taste. Hygienically packed.,Beverages,Parle,Dozen,Pune Organic Supplies,28,40,44,27,20,100,,12,Yes
Tata Sampann Coconut Water Deluxe 1L - TZXB,BEV-TATAS-008772799,8902306234333,Refreshing Tata Sampann Coconut Water Deluxe 1L - TZXB from Tata Sampann. Perfect for hot Indian summers.,Beverages,Tata Sampann,Millilitre,Pune Organic Supplies,30,43,47,35,20,100,,12,Yes
PepsiCo Cola Premium 200ml - JAH5,BEV-PEPSI-008804541,8902677729642,Refreshing PepsiCo Cola Premium 200ml - JAH5 from PepsiCo. Perfect for hot Indian summers.,Beverages,PepsiCo,Box,Bangalore Fresh Produce,35,50,55,43,20,100,,12,Yes
Coca Cola Orange Juice Natural 200ml - NYGL,BEV-COKE-008837240,8905004337444,Refreshing Coca Cola Orange Juice Natural 200ml - NYGL from Coca Cola. Perfect for hot Indian summers.,Beverages,Coca Cola,Litre,Mumbai FMCG Distributors,29,41,45,54,20,100,,12,Yes
Godrej Coconut Water Economy 1kg - CFTO,BEV-GODREJ-008870325,8904755993411,Refreshing Godrej Coconut Water Economy 1kg - CFTO from Godrej. Perfect for hot Indian summers.,Beverages,Godrej,Box,Hyderabad Dairy Co-op,50,71,78,86,20,100,,12,Yes
